,id,type,subtype,price,Transaction Type,zip,KitchenType,constructionYear,Building condition,energy_heatingType,Energy Consumption Level,bedroom_count,Land surface,Attic Exists,Basement Exists,Garden surface,Outdoor terrace exists,Specificities SME office exists,Wellness Equipment Swimming Pool,Parking parking Space Count indoor,Parking SpaceCount outdoor,Condition is Newly Built,date
6349,10129963,apartment,apartment,167500,forsale,8573,,1992,asnew,,239,1,,,,,,,,2,,,10/18/22
6350,10089014,apartment,apartment,169000,forsale,9400,hyperequipped,2003,asnew,gas,359,1,,,,,true,,,1,1,,10/18/22
6351,9592771,apartment,apartment,170000,forsale,1330,notinstalled,,,,,1,,,,,,,,,,,10/18/22
6352,10096886,apartment,apartment,174000,forsale,9620,semiequipped,1974,asnew,gas,315,1,,,true,,true,,,,,,10/18/22
6353,10096885,apartment,apartment,174000,forsale,9620,semiequipped,1974,asnew,gas,315,1,,,true,,true,,,,,,10/18/22
6354,9812204,apartment,flatstudio,175000,forsale,1000,installed,,good,electric,697,1,,,true,,,,,,,,10/18/22
6355,10105247,apartment,apartment,175000,forsale,5310,,1989,good,,114,2,,,,,true,,,1,1,,10/18/22
6356,10067651,apartment,apartment,175000,forsale,5310,installed,1989,good,,114,2,,,true,,true,,,1,1,,10/18/22
6357,9896280,apartment,apartment,175000,forsale,7370,hyperequipped,2018,asnew,gas,96,2,,,,,,,,,1,,10/18/22
6358,9944988,apartment,groundfloor,175000,forsale,8400,installed,,good,,,3,,,,,,,,,,,10/18/22
6359,10002743,apartment,apartment,178000,forsale,8660,usainstalled,2015,asnew,electric,186,1,,,,,true,,,1,,,10/18/22
6360,9976019,apartment,apartment,179000,forsale,7700,installed,2008,good,gas,149,1,,,true,,true,,,,,,10/18/22
6361,10092470,apartment,apartment,179000,forsale,8370,,1963,torenovate,,262,2,,,,,,,,,,,10/18/22
6362,10114688,apartment,apartment,179000,forsale,9300,installed,2012,good,gas,158,1,,,,,true,,,,1,,10/18/22
6363,9946398,apartment,duplex,179000,forsale,9300,semiequipped,2008,good,gas,162,2,,true,,,,,,,,,10/18/22
6364,10102280,apartment,apartment,180000,forsale,1420,notinstalled,,tobedoneup,gas,448,1,,,true,,true,,,1,,,10/18/22
6365,10082727,apartment,apartment,180000,forsale,4101,installed,1967,good,gas,170,2,,,true,,true,,,,,,10/18/22
6366,10103571,apartment,apartment,180000,forsale,4420,installed,2014,asnew,gas,208,5,,,true,,,,,1,,,10/18/22
6367,10127843,apartment,apartment,180000,forsale,8450,installed,2000,asnew,electric,265,2,,,,,,,true,,1,,10/18/22
6368,10086238,apartment,apartment,180000,forsale,8530,installed,1971,justrenovated,gas,194,3,,,,,true,,,2,1,,10/18/22
6369,10122911,apartment,triplex,185000,forsale,5590,installed,,,fueloil,488,1,,,,,true,,,,1,,10/18/22
6370,9896279,apartment,apartment,185000,forsale,7370,hyperequipped,2018,asnew,gas,112,2,,,,,true,,,,,,10/18/22
6371,10024668,apartment,flatstudio,190000,forsale,1470,,,torenovate,,81314,2,,,true,142,,,,3,,,10/18/22
6372,9999591,apartment,groundfloor,195000,forsale,9300,notinstalled,1978,,gas,269,3,,,true,,true,,,1,,,10/18/22
6373,10083221,apartment,apartment,199000,forsale,1170,installed,1968,good,fueloil,247,1,,,true,,true,,,,,,10/18/22
6374,10083957,apartment,serviceflat,199000,forsale,3360,,1991,asnew,gas,303,1,,,,,true,,,,,,10/18/22
6375,9899910,apartment,groundfloor,199000,forsale,4280,installed,1962,good,pellet,505,2,,,true,,true,true,,1,2,,10/18/22
6376,10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
6377,9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
6378,10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
6379,10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
6380,10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
6381,10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
6382,9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
6383,10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
6384,9592642,apartment,apartment,199900,forsale,4100,installed,,,gas,98,2,,,true,,true,,,1,,,10/18/22
6385,10072883,apartment,apartment,200000,forsale,1000,semiequipped,1960,,fueloil,164,1,,,true,,,,,,,,10/18/22
6386,10028566,apartment,apartment,200000,forsale,6220,notinstalled,,,gas,310,2,,,true,,,,,1,,,10/18/22
6387,10023051,apartment,apartment,200000,forsale,8400,installed,1958,tobedoneup,gas,124,2,,,true,,true,,,,,,10/18/22
6388,10129885,apartment,apartment,200000,forsale,8930,semiequipped,,good,gas,384,2,,,true,,true,,,,,,10/18/22
6389,9948496,apartment,apartment,200000,forsale,9340,installed,1994,,electric,279,2,,,true,,,,,1,1,,10/18/22
6390,10091960,apartment,apartment,205000,forsale,1083,installed,,good,fueloil,204,2,,,true,,true,,,,,,10/18/22
6391,10121796,apartment,apartment,209000,forsale,8400,,1965,torenovate,fueloil,182,2,,,,,true,,,,,,10/18/22
6392,9960233,apartment,apartment,209000,forsale,8870,installed,1968,asnew,,430,2,,,,,true,,,,,,10/18/22
6393,9973088,apartment,apartment,210000,forsale,4000,installed,,good,gas,206,2,,,true,,true,,,,,,10/18/22
6394,10111791,apartment,apartment,210000,forsale,9400,installed,1985,good,gas,343,2,,,,,,,,,,,10/18/22
6395,10111790,apartment,apartment,210000,forsale,9406,installed,1985,good,gas,343,2,,,,,,,,,,,10/18/22
6396,9619221,apartment,apartment,214000,forsale,4040,,,,,147,2,,,true,,true,true,,2,,,10/18/22
6397,10124135,apartment,apartment,215000,forsale,1070,notinstalled,1933,good,gas,223,1,,,true,44,true,true,,,,,10/18/22
6398,10044214,apartment,apartment,215000,forsale,1082,notinstalled,1960,tobedoneup,,363,2,,,,,true,,,1,20,,10/18/22
6399,10048991,apartment,apartment,215000,forsale,4620,installed,,good,gas,65,1,,,true,,true,,,,1,,10/18/22
6400,10118192,apartment,groundfloor,215000,forsale,5590,installed,2006,,gas,180,1,,,true,,true,,,,1,,10/18/22
6401,10040333,apartment,apartment,215000,forsale,8420,,2005,asnew,,486,2,,,,,true,,,,,,10/18/22
6402,9506426,apartment,apartment,215000,forsale,8660,installed,,asnew,electric,314,2,,,,,true,,,,,,10/18/22
6403,10075497,apartment,apartment,219000,forsale,8800,,2005,good,gas,115,2,,,,8,,,,1,,,10/18/22
6404,9961786,apartment,apartment,219000,forsale,9700,,2005,asnew,electric,223,2,,,true,,true,,,,,,10/18/22
6405,9658964,apartment,groundfloor,220000,forsale,1090,installed,1967,good,fueloil,254,2,,,,,true,,,,,,10/18/22
6406,10047215,apartment,apartment,220000,forsale,1400,installed,1972,good,gas,153,2,,,true,,true,,,,,,10/18/22
6407,9988749,apartment,apartment,220000,forsale,4041,installed,2014,asnew,gas,96,2,,,,150,true,,,1,1,,10/18/22
6408,10121412,apartment,apartment,220000,forsale,9400,installed,1993,good,electric,499,2,,,,,,,,1,1,,10/18/22
6409,10080153,apartment,apartment,225000,forsale,8400,installed,1969,,gas,108,2,,,true,,true,,,,1,,10/18/22
6410,10042883,apartment,apartment,225000,forsale,8800,usainstalled,1975,justrenovated,gas,223,2,,,,,,,,,1,,10/18/22
6411,9693228,apartment,serviceflat,228000,forsale,3111,installed,2016,asnew,,101,1,,,,,true,,,,,,10/18/22
6412,10041184,apartment,apartment,235000,forsale,1081,usainstalled,2003,asnew,,146,2,,,true,,true,,,,1,,10/18/22
6413,10045500,apartment,apartment,235000,forsale,1410,usahyperequipped,,asnew,fueloil,201,1,,,,,true,,,1,,,10/18/22
6414,10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
6415,9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
6416,10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
6417,10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
6418,10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
6419,10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
6420,9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
6421,10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
6422,10065793,apartment,apartment,235000,forsale,8820,installed,2007,justrenovated,gas,104,2,,,,,true,,,,,,10/18/22
6423,9430975,apartment,apartment,240000,forsale,1060,usasemiequipped,,asnew,gas,151,1,,,true,,true,,,,,,10/18/22
6424,9524454,apartment,apartment,240000,forsale,1080,usahyperequipped,2021,asnew,gas,,2,,,true,,true,,,,,,10/18/22
6425,10028195,apartment,apartment,240000,forsale,8580,,1950,justrenovated,,100,3,,,,,,,,,,,10/18/22
6426,10107129,apartment,apartment,245000,forsale,1040,usahyperequipped,,asnew,gas,167,1,,,true,,true,,,,,,10/18/22
6427,9737334,apartment,apartment,247900,forsale,2018,installed,,good,gas,300,2,,,true,,,,,,,,10/18/22
